OBJECTID,NUMERO_ORDINE,TECNICO,DATA_PRELIVEO,SPECIE,LATITUDINE,LONGITUDINE,CULTIVAR,RISULTATO,COMUNE
"17,556","7,176",RUB-CAR-SCA-LOR-IAC,03/12/2014 00:00:00,OLIVO,40.48052778,17.44158333,FRANTOIO,NEGATIVO,GROTTAGLIE
"17,557","7,177",RUB-CAR-SCA-LOR-IAC,03/12/2014 00:00:00,OLIVO,40.48200000,17.43997222,CELLINA,NEGATIVO,GROTTAGLIE
"17,528","21,993",PISC/FIORE,03/13/2014 00:00:00,OLIVO,40.79137000,16.88010000,****,NEGATIVO,GIOIA DEL COLLE
"17,529","20,280",Pro/Pas,02/10/2014 00:00:00,OLIVO,41.07155230,16.57757700,CORATINA,NEGATIVO,BITONTO
"17,530","20,281",Pro/Pas,02/10/2014 00:00:00,OLIVO,41.09500500,16.55432130,CORATINA,NEGATIVO,TERLIZZI
"17,623","5,108",Rub-Car-Sca-Lor-Iac,03/03/2014 00:00:00,OLIVO,40.31833333,17.66555556,OGLIAROLA,NEGATIVO,MANDURIA
"17,624","5,109",Rub-Car-Sca-Lor-Iac,03/03/2014 00:00:00,OLIVO,40.31194444,17.66333333,CELLINA,NEGATIVO,MANDURIA
"17,625","5,110",Rub-Car-Sca-Lor-Iac,03/03/2014 00:00:00,OLIVO,40.31138889,17.65138889,CELLINA,NEGATIVO,MANDURIA
"17,626","5,111",SUM/ARG,03/03/2014 00:00:00,OLIVO,40.46388889,18.02583333,CELLINA,NEGATIVO,SQUINZANO
"17,627","5,112",SUM/ARG,03/03/2014 00:00:00,MALVA,40.45861111,18.03055556,MALVA,NEGATIVO,SQUINZANO
"17,628","5,549",CAGSUMVIN060314,03/06/2014 00:00:00,OLIVO,40.42131667,18.06438333,****,POSITIVO,TREPUZZI
"17,629","5,550",CAGSUMVIN060314,03/06/2014 00:00:00,OLIVO,40.42110000,18.06390000,****,NEGATIVO,TREPUZZI
"17,630","5,551",CAGSUMVIN060314,03/06/2014 00:00:00,OLIVO,40.42123333,18.06453333,****,POSITIVO,TREPUZZI
"17,631","5,552",CAGSUMVIN060314,03/06/2014 00:00:00,OLIVO,40.42103333,18.06396667,****,NEGATIVO,TREPUZZI
"17,632","5,553",CAGSUMVIN060314,03/06/2014 00:00:00,OLIVO,40.42208333,18.06356667,****,POSITIVO,TREPUZZI
"17,633","5,554",CAGSUMVIN060314,03/06/2014 00:00:00,OLIVO,40.42168333,18.06295000,****,NEGATIVO,TREPUZZI
